1594915927174 DEVICE_BOUNDARIES 798 1278
1594915983935 0 710 937 -1
1594915983947 0 712 935 -1
1594915983957 0 713 932 -1
1594915983972 0 715 927 -1
1594915983982 0 716 921 -1
1594915983998 0 717 914 -1
1594915984018 0 719 908 -1
1594915984050 0 721 902 -1
1594915984050 0 722 897 -1
1594915984050 0 724 892 -1
1594915984055 0 725 888 -1
1594915984067 0 727 885 -1
1594915984079 0 729 881 -1
1594915984092 0 731 878 -1
1594915984108 0 734 875 -1
1594915984123 0 736 872 -1
1594915984131 0 738 869 -1
1594915984150 0 740 866 -1
1594915984155 0 742 864 -1
1594915984166 0 744 862 -1
1594915984177 0 745 861 -1
1594915984189 0 746 859 -1
1594915984201 0 747 858 -1
1594915984215 0 748 857 -1
1594915984287 0 749 854 -1
1594915984356 0 750 852 -1
1594915984584 0 747 853 -1
1594915984596 0 746 854 -1
1594915984608 0 744 855 -1
1594915984620 0 743 856 -1
1594915984634 0 742 858 -1
1594915984647 0 741 859 -1
1594915984657 0 740 861 -1
1594915984668 0 739 863 -1
1594915984692 0 738 871 -1
1594915984704 0 736 875 -1
1594915984717 0 734 880 -1
1594915984728 0 732 885 -1
1594915984741 0 730 890 -1
1594915984755 0 728 895 -1
1594915984767 0 726 899 -1
1594915984778 0 725 902 -1
1594915984789 0 723 906 -1
1594915984803 0 721 911 -1
1594915984813 0 718 916 -1
1594915984828 0 715 921 -1
1594915984838 0 712 926 -1
1594915984851 0 710 929 -1
1594915984863 0 708 933 -1
1594915984875 0 707 935 -1
1594915984887 0 706 937 -1
1594915984898 0 705 938 -1
1594915984935 0 704 941 -1
1594915985062 0 703 942 -1
1594915985165 0 704 944 -1
1594915985217 0 703 945 -1
1594915985275 0 702 948 -1
1594915985406 0 703 951 -1
1594915985576 0 702 953 -1
1594915985635 0 701 955 -1
1594915985769 0 700 956 -1
1594915985864 0 699 958 -1
1594915985997 0 698 960 -1
1594915986161 0 697 962 -1
1594915986276 0 696 964 -1
1594915986434 0 695 967 -1
1594915986713 0 694 970 -1
1594915987014 0 693 974 -1
1594915989624 0 757 934 -1
1594915989641 0 755 933 -1
